X,CH1,CH2,
Second,Volt,Volt,
1.1739500e-01,-3.40000e-03,-2.00000e-04,
1.1739600e-01,-3.20000e-03,-6.00000e-04,
1.1739700e-01,-3.00000e-03,-1.00000e-03,
1.1739800e-01,-2.80000e-03,-1.60000e-03,
1.1739900e-01,-2.60000e-03,-2.00000e-03,
1.1740000e-01,-2.60000e-03,-2.40000e-03,
1.1740100e-01,-2.40000e-03,-2.80000e-03,
1.1740200e-01,-2.20000e-03,-3.40000e-03,
1.1740300e-01,-2.00000e-03,-3.80000e-03,
1.1740400e-01,-1.80000e-03,-4.20000e-03,
1.1740500e-01,-1.60000e-03,-4.60000e-03,
1.1740600e-01,-1.60000e-03,-5.20000e-03,
1.1740700e-01,-1.20000e-03,-4.20000e-03,
1.1740800e-01,-8.00000e-04,-3.20000e-03,
1.1740900e-01,-6.00000e-04,-2.20000e-03,
1.1741000e-01,-2.00000e-04,-1.20000e-03,
1.1741100e-01,0.00000e+00,-2.00000e-04,
1.1741200e-01,4.00000e-04,8.00000e-04,
1.1741300e-01,6.00000e-04,1.80000e-03,
1.1741400e-01,1.00000e-03,2.80000e-03,
1.1741500e-01,1.20000e-03,3.80000e-03,
1.1741600e-01,1.60000e-03,4.80000e-03,
1.1741700e-01,1.80000e-03,5.60000e-03,
1.1741800e-01,1.20000e-03,4.60000e-03,
1.1741900e-01,6.00000e-04,3.60000e-03,
1.1742000e-01,-2.00000e-04,2.60000e-03,
1.1742100e-01,-8.00000e-04,1.40000e-03,
1.1742200e-01,-1.60000e-03,4.00000e-04,
1.1742300e-01,-2.20000e-03,-6.00000e-04,
1.1742400e-01,-2.80000e-03,-1.60000e-03,
1.1742500e-01,-3.60000e-03,-2.80000e-03,
1.1742600e-01,-4.20000e-03,-3.80000e-03,
1.1742700e-01,-5.00000e-03,-4.80000e-03,
1.1742800e-01,-5.60000e-03,-5.80000e-03,
1.1742900e-01,-6.40000e-03,-7.00000e-03,
1.1743000e-01,-5.40000e-03,-5.80000e-03,
1.1743100e-01,-4.40000e-03,-4.60000e-03,
1.1743200e-01,-3.40000e-03,-3.40000e-03,
1.1743300e-01,-2.40000e-03,-2.40000e-03,
1.1743400e-01,-1.40000e-03,-1.20000e-03,
1.1743500e-01,-6.00000e-04,0.00000e+00,
1.1743600e-01,4.00000e-04,1.20000e-03,
1.1743700e-01,1.40000e-03,2.20000e-03,
